,cluster_id,cluster_name,cluster_isactive,store_id,store_code,store_description,store_lat,store_long
248,1,Durbanville (WC),True,451,CL1707,Clicks Pinehurst,-33.8331146,18.6849689
249,143,Bay West (EC),True,452,8046,Checkers Hyper Bay West,-33.95196,25.45992
250,144,Mossel Bay (WC),True,453,633,Checkers Heiderand,-34.185,22.115
251,145,Vincent (EC),True,454,3014,Checkers Vincent,-32.98146,27.90053
252,146,Kimberley (NC),True,458,4617,Checkers Diamond Pavillion,-28.76566,24.76474
253,147,Upington (NC),True,459,3681,Checkers Kalahari Mall,-28.44411,21.2574081
254,148,Welkom (FS),True,460,102,Checkers Welkom,-27.979,26.735
255,150,Secunda (MP),True,462,3823,Checkers Hyper Secunda Mall,-26.5100975,29.1839085
256,151,Arcon Park (G),True,463,192,Checkers Hyper Arcon Park,-26.6406,27.9402
257,152,Newcastle (KZN),True,464,4267,Checkers Newcastle,-27.7589,29.9321
258,153,Galleria (KZN),True,465,5467,Checkers Hyper Galleria,-30.03363,30.90004
259,154,Richards Bay (KZN),True,466,5080,Checkers Boardwalk Richards Bay,-28.75467,32.04717
260,165,Margate (KZN),True,479,671,Checkers Margate,-30.864,30.361
261,156,Worcester (WC),True,481,4507,Checkers Mountain Mill ,-33.63179,19.43455
262,157,Table View (WC),True,482,259,Checkers Table View,-33.823,18.489
263,158,Vredenburg (WC),True,483,5235,Checkers West Coast Mall,-32.92103,17.98716
264,159,Sunward Park (G),True,484,3613,Checkers Sunward Park,-26.25723,28.26875
265,160,Middelburg (MP),True,485,3034,Checkers Middelburg Mall,-25.80577,29.45892
266,162,Potchefstroom (NW),True,486,5051,Checkers Potchefstroom,-26.7128944,27.1068726
267,163,Rand Park Ridge (G),True,487,5977,Checkers Rock  Cottage,-26.10462,27.92707
268,164,Hartbeespoort (NW),True,488,5220,Checkers Hartbeespoort,-25.7304,27.88614
269,154,Richards Bay (KZN),True,490,3103,Checkers LiquorShop Boardwalk Richards Bay,-28.753,32.048
270,143,Bay West (EC),True,491,9468,Checkers LiquorShop Bay West,-33.95196,25.45992
271,144,Mossel Bay (WC),True,492,3498,Checkers LiquorShop Heiderand,-34.185,22.115
272,145,Vincent (EC),True,493,3121,Checkers LiquorShop Vincent,-32.98146,27.90053
273,146,Kimberley (NC),True,494,3179,Checkers LiquorShop Diamond Pavillion,-28.7579,24.768
274,147,Upington (NC),True,495,5266,Checkers LiquorShop Kalahari Mall,-28.44411,21.2574081
275,148,Welkom (FS),True,496,3505,Checkers LiquorShop Welkom,-27.979,26.735
276,150,Secunda (MP),True,497,3901,Checkers LiquorShop Secunda Mall,-26.5124378,29.1822948
277,151,Arcon Park (G),True,498,3260,Checkers LiquorShop Arcon Park,-26.6406,27.9402
278,153,Galleria (KZN),True,499,5465,Checkers LiquorShop Galleria,-30.03363,30.90004
279,156,Worcester (WC),True,500,4498,Checkers LiquorShop Mountain Mill,-33.63179,19.43455
280,157,Table View (WC),True,501,5374,Checkers LiquorShop Table View,-33.823,18.489
281,158,Vredenburg (WC),True,502,5380,Checkers LiquorShop West Coast Mall,-32.92103,17.98716
282,160,Middelburg (MP),True,503,3290,Checkers LiquorShop Middelburg Mall,-25.80577,29.45892
283,161,Emfuleni (G),True,504,9290,Checkers LiquorShop Emfuleni,-26.7348,27.8385
284,162,Potchefstroom (NW),True,505,5185,Checkers LiquorShop Potchefstroom,-26.7128944,27.1068726
